"","Signature","Gene"
"481","Wouters Melanocytic cell state","SLC25A5"
"482","Wouters Melanocytic cell state","HPS1"
"483","Wouters Melanocytic cell state","SGSM3"
"484","Wouters Melanocytic cell state","GPAM"
"485","Wouters Melanocytic cell state","IDH3A"
"486","Wouters Melanocytic cell state","C12orf76"
"487","Wouters Melanocytic cell state","EIF3L"
"488","Wouters Melanocytic cell state","FBXO25"
"489","Wouters Melanocytic cell state","STAM"
"490","Wouters Melanocytic cell state","IVNS1ABP"
"491","Wouters Melanocytic cell state","ROR1"
"492","Wouters Melanocytic cell state","ANKRD39"
"493","Wouters Melanocytic cell state","FADD"
"494","Wouters Melanocytic cell state","DANCR"
"495","Wouters Melanocytic cell state","AC012307.3"
"496","Wouters Melanocytic cell state","PTER"
"497","Wouters Melanocytic cell state","CENPM"
"498","Wouters Melanocytic cell state","RMND1"
"499","Wouters Melanocytic cell state","ATP6V0A1"
"500","Wouters Melanocytic cell state","TOMM7"
"501","Wouters Melanocytic cell state","CECR5"
"502","Wouters Melanocytic cell state","GOT1"
"503","Wouters Melanocytic cell state","AFG3L2"
"504","Wouters Melanocytic cell state","UBE3D"
"505","Wouters Melanocytic cell state","GHITM"
"506","Wouters Melanocytic cell state","TPK1"
"507","Wouters Melanocytic cell state","USF2"
"508","Wouters Melanocytic cell state","GGA1"
"509","Wouters Melanocytic cell state","RAD9A"
"510","Wouters Melanocytic cell state","MT-RNR2"
"511","Wouters Melanocytic cell state","RPUSD3"
"512","Wouters Melanocytic cell state","AIFM1"
"513","Wouters Melanocytic cell state","DDX11-AS1"
"514","Wouters Melanocytic cell state","RAD51B"
"515","Wouters Melanocytic cell state","UBAC2-AS1"
"516","Wouters Melanocytic cell state","FBXO7"
"517","Wouters Melanocytic cell state","ST7"
"518","Wouters Melanocytic cell state","SLC22A18"
"519","Wouters Melanocytic cell state","KLHL24"
"520","Wouters Melanocytic cell state","DIP2C"
"521","Wouters Melanocytic cell state","NEDD4L"
"522","Wouters Melanocytic cell state","FAM102B"
"523","Wouters Melanocytic cell state","SRRD"
"524","Wouters Melanocytic cell state","DPH5"
"525","Wouters Melanocytic cell state","OSBPL1A"
"526","Wouters Melanocytic cell state","LOH12CR1"
"527","Wouters Melanocytic cell state","RBM15"
"528","Wouters Melanocytic cell state","KCNAB1"
"529","Wouters Melanocytic cell state","METTL12"
"530","Wouters Melanocytic cell state","CD63"
"531","Wouters Melanocytic cell state","HS1BP3"
"532","Wouters Melanocytic cell state","YARS"
"533","Wouters Melanocytic cell state","MRPL44"
"534","Wouters Melanocytic cell state","TMEM53"
"535","Wouters Melanocytic cell state","RAB3IL1"
"536","Wouters Melanocytic cell state","RAVER2"
"537","Wouters Melanocytic cell state","ADO"
"538","Wouters Melanocytic cell state","NDUFV1"
"539","Wouters Melanocytic cell state","PPT2"
"540","Wouters Melanocytic cell state","BEND3"
"541","Wouters Melanocytic cell state","TMEM8A"
"542","Wouters Melanocytic cell state","SS18L1"
"543","Wouters Melanocytic cell state","ORC1"
"544","Wouters Melanocytic cell state","SSU72"
"545","Wouters Melanocytic cell state","RP11-295G20.2"
"546","Wouters Melanocytic cell state","THNSL1"
"547","Wouters Melanocytic cell state","CDIP1"
"548","Wouters Melanocytic cell state","RP11-344P13.3"
"549","Wouters Melanocytic cell state","AK9"
"550","Wouters Melanocytic cell state","MAD2L1BP"
"551","Wouters Melanocytic cell state","RP5-886K2.3"
"552","Wouters Melanocytic cell state","RP11-166P13.3"
"553","Wouters Melanocytic cell state","GPR3"
"554","Wouters Melanocytic cell state","NNT"
"555","Wouters Melanocytic cell state","CACHD1"
"556","Wouters Melanocytic cell state","NDUFAF4"
"557","Wouters Melanocytic cell state","C1orf85"
"558","Wouters Melanocytic cell state","MED15"
"559","Wouters Melanocytic cell state","DRAM2"
"560","Wouters Melanocytic cell state","PEX10"
"561","Wouters Melanocytic cell state","CHD7"
"562","Wouters Melanocytic cell state","RP11-312J18.5"
"563","Wouters Melanocytic cell state","AC007246.3"
"564","Wouters Melanocytic cell state","SYNE2"
"565","Wouters Melanocytic cell state","EPM2A"
"566","Wouters Melanocytic cell state","NUP50"
"567","Wouters Melanocytic cell state","YBX1P10"
"568","Wouters Melanocytic cell state","MARCKSL1"
"569","Wouters Melanocytic cell state","RP11-163N6.2"
"570","Wouters Melanocytic cell state","WDR3"
"571","Wouters Melanocytic cell state","PRTG"
"572","Wouters Melanocytic cell state","RP9P"
"573","Wouters Melanocytic cell state","SRP14-AS1"
"574","Wouters Melanocytic cell state","ZNF74"
"575","Wouters Melanocytic cell state","IL1RAP"
"576","Wouters Melanocytic cell state","SPRY4"
"577","Wouters Melanocytic cell state","SDHB"
"578","Wouters Melanocytic cell state","PGM1"
"579","Wouters Melanocytic cell state","C3orf67"
"580","Wouters Melanocytic cell state","ODC1"
"581","Wouters Melanocytic cell state","ATP6V1B2"
"582","Wouters Melanocytic cell state","MYH10"
"583","Wouters Melanocytic cell state","TMEM177"
"584","Wouters Melanocytic cell state","RPS27"
"585","Wouters Melanocytic cell state","FOS"
"586","Wouters Melanocytic cell state","CBLB"
"587","Wouters Melanocytic cell state","LRRC8D"
"588","Wouters Melanocytic cell state","ACO2"
